DATA_ACTION_,IS_REFERENCED,RES_CTX_RELATION_ID,CONTEXT_ID,RESOURCE_ID,INSERT_BY,UPDATE_BY,RECORD_USAGE,INSERT_TIME,UPDATE_TIME,CONTEXT_TYPE_ID,RESOURCE_TYPE_ID
Unknown,false,370104674,360010458,855003394,17312387,17312387,5,2019-07-15 10:50:39.0,2019-07-15 10:50:39.0,3,2
Unknown,false,370104675,360010458,855003396,17312387,17312387,5,2019-07-15 10:50:39.0,2019-07-15 10:50:39.0,3,2
Unknown,false,370104676,360010458,855003398,17312387,17312387,5,2019-07-15 10:50:39.0,2019-07-15 10:50:39.0,3,2
Unknown,false,370104684,360010458,855004414,17312387,17312387,5,2019-07-15 10:50:39.0,2019-07-15 10:50:39.0,3,2
Unknown,false,370104695,360010458,855004442,17312387,17312387,5,2019-07-15 11:42:25.0,2019-07-15 11:42:25.0,3,2
