DATA_ACTION_,IS_REFERENCED,RES_CTX_RELATION_ID,CONTEXT_ID,RESOURCE_ID,INSERT_BY,UPDATE_BY,RECORD_USAGE,INSERT_TIME,UPDATE_TIME,CONTEXT_TYPE_ID,RESOURCE_TYPE_ID
Unknown,false,360073896,360010457,360073894,17312387,17312387,5,2019-06-05 10:53:48.0,2019-06-05 10:53:48.0,2,5
Unknown,false,360081684,360010457,360081682,17312387,17312387,5,2019-06-13 11:47:23.0,2019-06-13 11:47:23.0,2,5
Unknown,false,360083110,360010457,360083108,17312387,17312387,5,2019-06-13 14:15:39.0,2019-06-13 14:15:39.0,2,5
Unknown,false,370148675,360010457,370148673,17312387,17312387,5,2019-07-31 10:09:42.0,2019-07-31 10:09:42.0,2,5
Unknown,false,373584336,360010457,360010849,17312387,17312387,5,2020-04-23 09:59:29.0,2020-04-23 09:59:29.0,2,4
