DATA_ACTION_,IS_REFERENCED,CALC_ID,MODEL_NAME,FILTER_EXPRESSION,NAME,DESCRIPTION,ACCUMULATION,FORK,BE_DEPENDENT_CALC_ID,DEPENDENT_FIELDS,VERSION_ID,TERM_ID,CODE,INJECTED_GROUP,REFERENCE_ACCUMULATION,INSERT_BY,UPDATE_BY,RECORD_USAGE,INSERT_TIME,UPDATE_TIME,INJECTED_CALC,TERM_NAME
Unknown,false,373600913,PolicyCoverage,,Premium,,1,0,,,360010850,,"C101112,C101113",,,17312387,17312387,5,2020-04-28 15:53:32.0,2020-04-28 16:59:18.0,,
Unknown,false,373601088,,,Round,,0,0,373600913,,360010850,,,,,17312387,17312387,5,2020-04-28 17:05:24.0,2020-04-28 17:05:24.0,Round,
