DATA_ACTION_,IS_REFERENCED,RELATION_ID,PRODUCT_ELEMENT_ID,PARENT_ELEMENT_ID,RELATION_TYPE,DYNAMIC_FIELDS,INSERT_BY,UPDATE_BY,RECORD_USAGE,MIN_OCCURRENCE,MAX_OCCURRENCE,MIN_OCCURRENCE_EXPRESSION,MAX_OCCURRENCE_EXPRESSION,IS_AUTO_GENERATE_CHILD,INSERT_TIME,UPDATE_TIME
Unknown,false,360010460,360010459,360010458,-1,,17312387,17312387,1,,,,,N,2019-06-03 16:51:05.0,2019-06-03 16:51:05.0
Unknown,false,360010462,360010461,360010459,-1,,17312387,17312387,1,,,,,N,2019-06-03 17:17:51.0,2019-06-03 17:17:51.0
Unknown,false,360010464,360010463,360010461,-1,,17312387,17312387,1,,,,,N,2019-06-03 17:17:51.0,2019-06-03 17:17:51.0
Unknown,false,360010466,360010465,360010461,-1,,17312387,17312387,1,,,,,N,2019-06-03 17:17:51.0,2019-06-03 17:17:51.0
Unknown,false,370148038,370148037,360010459,-1,,17312387,17312387,5,,,,,N,2019-07-31 09:58:55.0,2019-07-31 09:58:55.0
Unknown,false,370148059,370148058,360010463,-1,,17312387,17312387,5,,,,,N,2019-08-01 11:05:03.0,2019-08-01 11:05:03.0
Unknown,false,370655244,370655243,360010463,-1,,17312387,17312387,5,,,,,N,2019-09-30 10:22:45.0,2019-09-30 10:22:45.0
Unknown,false,370655249,370655248,360010463,-1,,17312387,17312387,5,,,,,N,2019-09-30 10:22:46.0,2019-09-30 10:22:46.0
Unknown,false,505198301,505198300,360010463,-1,,375425830,375425830,5,,,,,N,2021-09-18 17:34:31.0,2021-09-18 17:34:31.0
