DATA_ACTION_,IS_REFERENCED,TERM_ID,NAME,CODE,DESCRIPTION,INSERT_BY,UPDATE_BY,RECORD_USAGE,INSERT_TIME,UPDATE_TIME
Unknown,true,348462,GrossPremium,GrossPremium,GrossPremium,-11,-11,1,2015-11-02 16:04:47.0,2015-11-02 16:04:47.0
Unknown,true,6681028,SumInsured,SumInsured,SumInsured,-11,-11,1,2016-08-05 15:13:54.0,2016-08-05 15:13:54.0
Unknown,true,20008827,DuePremium,DuePremium,DuePremium,-11,-11,1,2017-10-09 10:12:31.0,2017-10-09 10:12:31.0
Unknown,true,300337886,BeforeVatPremium,BeforeVatPremium,BeforeVatPremium,-11,-11,1,2017-11-29 14:50:49.0,2017-11-29 14:50:49.0
Unknown,true,370530280,Vat,Vat,Vat,17312387,17312387,5,2019-09-04 10:53:45.0,2019-09-04 10:53:45.0
